v	t
1.176439452660465	0
1.584534254935418	0
2.234157177890652	0.176296
2.916317012274063	0.213464
3.523691872576995	0.24032
4.065236709720859	0.265136
4.547035508904385	0.289548
4.91650485823715	0.314348
5.124832729022296	0.339168
5.232896786174894	0.36892
5.360961501023831	0.394128
5.519481003996674	0.41854
5.602920491899535	0.443748
5.554653262064625	0.468156
5.482607863420993	0.503252
5.554885514280473	0.527664
5.813395700769175	0.55248
6.111437028253119	0.57728
6.263472452716266	0.602092
6.191339185512616	0.6273
5.93151611075104	0.652112
5.621060233891402	0.676932
5.403508496750159	0.701736
5.351685058340728	0.726148
5.429092007995987	0.759596
5.52949407233755	0.784008
5.601360342371324	0.809232
5.696964621777431	0.83362
5.860827859087951	0.858828
5.997690830361973	0.883644
6.00478905709684	0.90846
5.888901890421035	0.932864
5.783438726106641	0.95808
5.808800934814609	0.98248
5.925029625653787	1.0077
6.017459059434201	1.032108
6.052758175636497	1.056916
6.086213020509923	1.081728
6.15778761636274	1.113528
6.206407335883397	1.138332
6.131687612000683	1.162748
5.92341209087984	1.187556
5.711161075247162	1.212372
5.579840441434006	1.237172
5.516773687851191	1.26198
5.483082500911278	1.2872
5.47919927923849	1.311608
5.530875093255903	1.33642
5.626930912924105	1.361224
5.734019823174828	1.386032
5.839049263901069	1.410844
5.928006856834407	1.435656
5.968751840854804	1.460868
5.928006856834405	1.485284
5.831951037166204	1.510492
5.70594579184174	1.534896
5.555540540406482	1.560108
5.383091817395418	1.58492
5.260322970886965	1.609328
5.300354450347091	1.63454
5.52469628740209	1.659344
5.794372229129028	1.683756
5.916261514480673	1.708968
5.836937986550629	1.733788
5.675988817179213	1.758592
5.537569956631192	1.782992
5.40932377892376	1.808208
5.217241835471861	1.833024
4.970682742884905	1.857428
4.779785417801445	1.882644
4.790661155648692	1.907448
5.021574010373757	1.931856
5.330871694223076	1.957076
5.465388459919637	1.981888
5.214819499935101	2.006288
4.53162172987616	2.031496
3.547485704161148	2.055904
2.556879080293578	2.055904
1.928248713808377	2.055904
