sx	sy	theta
-65.61	48.71	104.61
-65.95	48.62	104.97
-66.45	48.48	105.38
-66.79	48.39	105.84
-67.21	48.27	106.25
-67.54	48.17	106.61
-67.96	48.05	107.07
-68.37	47.92	107.48
-68.70	47.81	107.89
-69.12	47.67	108.30
-69.45	47.56	108.66
-69.78	47.45	109.12
-70.19	47.31	109.53
-70.60	47.16	109.94
-70.93	47.04	110.35
-71.25	46.92	110.76
-71.66	46.76	111.17
-71.98	46.64	111.58
-72.39	46.47	112.04
-72.71	46.34	112.46
-73.03	46.21	112.87
-73.35	46.07	113.33
-73.75	45.90	113.74
-74.15	45.72	114.15
-74.47	45.58	114.56
-74.86	45.39	114.97
-75.25	45.21	115.38
-75.57	45.06	115.79
-75.96	44.87	116.20
-76.35	44.67	116.61
-76.74	44.48	117.07
-77.13	44.28	117.53
-77.43	44.12	117.89
-77.66	43.99	118.25
-78.05	43.79	118.61
-78.35	43.62	119.07
-78.66	43.45	119.48
-78.96	43.27	119.89
-79.26	43.10	120.20
-79.56	42.92	120.61
-79.86	42.75	121.02
-80.23	42.52	121.43
-80.53	42.34	121.84
-80.90	42.11	122.25
-81.12	41.97	122.61
-81.41	41.78	122.97
-81.70	41.59	123.38
-82.06	41.35	123.79
-82.35	41.15	124.20
-82.71	40.91	124.67
-83.07	40.66	125.02
-83.35	40.46	125.38
-83.64	40.25	125.79
-83.99	40.00	126.26
-84.34	39.74	126.72
-84.69	39.48	127.13
-84.97	39.27	127.49
-85.24	39.05	127.90
-85.58	38.78	128.26
-85.86	38.57	128.72
-86.13	38.35	129.13
-86.46	38.07	129.59
-86.80	37.79	130.00
-87.06	37.57	130.41
-87.33	37.34	130.77
-87.59	37.11	131.18
-87.85	36.88	131.59
-88.18	36.59	132.00
-88.50	36.30	132.46
-88.76	36.06	132.93
-89.01	35.83	133.28
-89.26	35.59	133.69
-89.51	35.34	134.10
-89.83	35.04	134.57
-90.13	34.73	134.98
-90.44	34.43	135.39
-90.69	34.18	135.80
-90.99	33.86	136.21
-91.23	33.61	136.57
-91.53	33.29	137.03
-91.82	32.97	137.44
-92.11	32.65	137.85
-92.35	32.39	138.26
-92.64	32.07	138.67
-92.87	31.80	139.03
-93.09	31.54	139.44
-93.32	31.28	139.80
-93.54	31.01	140.26
-93.76	30.74	140.72
-94.04	30.40	141.13
-94.31	30.06	141.54
-94.53	29.79	141.95
-94.79	29.44	142.31
-95.01	29.17	142.72
-95.27	28.82	143.13
-95.48	28.54	143.54
-95.68	28.26	143.96
-95.94	27.91	144.37
-96.19	27.55	144.83
-96.39	27.27	145.24
-96.64	26.91	145.65
-96.83	26.62	146.06
-97.07	26.26	146.47
-97.26	25.97	146.88
-97.45	25.68	147.29
-97.69	25.31	147.70
-97.92	24.94	148.11
-98.10	24.64	148.52
-98.33	24.27	148.93
-98.51	23.97	149.34
-98.73	23.60	149.75
-98.90	23.29	150.16
-99.07	22.99	150.57
-99.24	22.69	150.93
-99.41	22.38	151.34
-99.58	22.08	151.70
-99.74	21.77	152.06
-99.94	21.38	152.52
-100.14	21.00	152.98
-100.30	20.69	153.39
-100.46	20.37	153.75
-100.57	20.14	154.06
-100.76	19.75	154.47
-100.91	19.43	154.83
-101.06	19.12	155.24
-101.24	18.72	155.65
-101.38	18.40	156.06
-101.52	18.08	156.42
-101.69	17.68	156.83
-101.83	17.36	157.24
-101.96	17.04	157.70
-102.13	16.64	158.11
-102.25	16.32	158.47
-102.38	15.99	158.83
-102.54	15.58	159.24
-102.66	15.26	159.71
-102.81	14.85	160.12
-102.96	14.44	160.53
-103.07	14.11	160.94
-103.18	13.78	161.30
-103.29	13.45	161.71
-103.40	13.12	162.12
-103.51	12.79	162.53
-103.66	12.29	162.99
-103.76	11.96	163.45
-103.89	11.54	163.81
-103.98	11.20	164.17
-104.08	10.87	164.53
-104.19	10.45	164.94
-104.28	10.11	165.35
-104.37	9.77	165.76
-104.45	9.44	166.17
-104.53	9.10	166.53
-104.61	8.76	166.89
-104.69	8.42	167.30
-104.77	8.08	167.71
-104.88	7.57	168.17
-104.96	7.14	168.63
-105.03	6.80	169.04
-105.10	6.46	169.40
-105.16	6.11	169.76
-105.22	5.77	170.12
-105.28	5.43	170.48
-105.35	5.00	170.94
-105.40	4.65	171.40
-105.45	4.31	171.81
-105.50	3.96	172.17
-105.55	3.62	172.58
-105.60	3.19	172.99
-105.65	2.76	173.40
-105.69	2.41	173.81
-105.73	2.06	174.17
-105.77	1.63	174.58
-105.80	1.28	174.99
-105.84	0.85	175.40
-105.87	0.50	175.81
-105.89	0.15	176.22
-105.92	-0.28	176.64
-105.94	-0.72	177.05
-105.96	-1.06	177.40
-105.98	-1.50	177.82
-105.99	-1.85	178.17
-106.00	-2.28	178.58
-106.01	-2.63	179.00
-106.01	-2.98	179.41
-106.02	-3.33	179.82
-106.02	-3.67	180.23
-106.01	-4.02	180.59
-106.01	-4.37	181.00
-106.00	-4.72	181.35
-106.00	-4.89	181.51
-105.99	-4.98	181.56
-105.99	-4.98	181.61
-105.99	-5.07	181.66
