v	t
1.258278727789723	0
1.796365757968082	0
2.769428046238573	0.062384
3.993968474287625	0.099956
5.27353006646669	0.124368
6.440100644238171	0.149176
7.379109204650248	0.173988
8.074551263107608	0.199196
8.537863261957975	0.223604
8.796142077376709	0.248416
8.923033951230376	0.273232
9.068098945423008	0.29804
9.34169244553993	0.322844
9.726899724156558	0.347656
10.07308177120625	0.372472
10.24310884537831	0.39728
10.27596619271983	0.422092
10.30613057610929	0.446896
10.38402898984656	0.472112
10.43868835846801	0.496512
10.35306485271244	0.521724
10.16383540882168	0.54654
10.01461569955619	0.571348
10.06470350658056	0.5957519999999999
10.31553498304627	0.620968
10.62937357768057	0.6453759999999999
10.8047323806154	0.670192
10.77638601701814	0.695404
10.68499294867329	0.719804
10.70332044862079	0.7446199999999999
10.85534188444103	0.769828
10.99073046494092	0.7942360000000001
10.97665266499487	0.819052
10.83599380426947	0.843852
10.69108524354262	0.868668
10.63337066649871	0.893884
10.63420642302048	0.918288
10.60635894284606	0.9431
10.48446501695373	0.9683079999999999
10.31553498304627	0.993116
10.2096120673074	1.017524
10.22097464240224	1.04274
10.32961278299232	1.067548
10.47038721700769	1.091964
10.5870108626745	1.116764
10.62197121794233	1.141588
10.5817483843241	1.166788
10.54890564954497	1.1916
10.63762036650013	1.21642
10.83972960934475	1.240816
11.00634274003719	1.26562
11.04235274711552	1.290432
10.9720811033978	1.315652
10.9016938863901	1.340468
10.86332738951775	1.364864
10.81595480734458	1.389672
10.76325009746775	1.414888
10.74568316362686	1.439704
10.81297916943494	1.46452
10.9204588212232	1.488924
10.97665266499487	1.51372
10.90626544798719	1.538532
10.74143346362542	1.563344
10.61460573166563	1.58816
10.63762036650014	1.612972
10.78201503230083	1.637772
10.87824094598558	1.662584
10.86332738951775	1.687396
10.83940774774911	1.712608
10.94533066348797	1.73742
11.12681776406925	1.762236
11.15498710583932	1.786636
10.9378487332369	1.811444
10.66038239015134	1.836252
10.62600518022199	1.861064
10.88318936461546	1.88588
11.18111839763353	1.910684
11.18833904414176	1.935496
10.78939768516145	1.960308
10.07235849170535	1.98512
9.10805115514836	2.009928
7.868514181857202	2.034732
6.340638656828829	2.059548
4.667933810287884	2.084356
3.182153626418501	2.084356
2.301300991233764	2.084356
