v	t
1.772010432671611	0
2.649739041576773	0
4.188314757147242	0.0558
6.072464990865245	0.08062
7.97870560652632	0.105028
9.713508571380682	0.13024
11.19098777276761	0.155052
12.37940620865479	0.179464
13.26527447529076	0.204264
13.85032949188657	0.229084
14.16679015251962	0.253892
14.30753327516068	0.279104
14.43515804774768	0.303512
14.64576669059517	0.32832
14.89217144523226	0.353128
15.02247456920895	0.377944
14.95220292549122	0.402748
14.78752259158518	0.427568
14.67734997584488	0.452768
14.64507577384185	0.47718
14.62714659553056	0.502644
14.61164989372423	0.5268040000000001
14.65375219567189	0.551612
14.75524838958215	0.5764280000000001
14.84769891161262	0.6016319999999999
14.87572341361421	0.62604
14.88707134035051	0.650848
14.92739522512029	0.675664
14.99987309806248	0.7008799999999999
15.1067617862305	0.725276
15.28260689366674	0.7504999999999999
15.49127721804366	0.775308
15.63883510605583	0.800116
15.68572751096545	0.824524
15.71473052667747	0.849332
15.82281796560372	0.87414
15.98236299762744	0.899352
16.08943590913064	0.923764
16.07644560960915	0.948572
15.93545768362467	0.973796
15.74424402578052	0.998592
15.65783451230702	1.023004
15.79120998881024	1.047808
16.0702341443707	1.073272
16.28059472615157	1.097836
16.25535457319339	1.122636
15.99775627142853	1.147052
15.66923756883063	1.171864
15.43741582009957	1.196672
15.40437531955197	1.221884
15.51075748211374	1.246292
15.59192979205305	1.2711
15.56048655408094	1.295908
15.50089382835385	1.320724
15.52625603706182	1.345532
15.5966142893137	1.370744
15.5966142893137	1.395152
15.52625603706182	1.419964
15.50799205508872	1.444768
15.58856058541403	1.469984
15.67041839130555	1.4948
15.67862928423058	1.5192
15.66305871517139	1.544408
15.67862928423058	1.56922
15.66243288622882	1.593636
15.55697730016431	1.618448
15.41869419279507	1.643244
15.30938492400125	1.66806
15.19824653583181	1.692868
15.01984574715076	1.718084
14.83418960864649	1.742496
14.76664783813853	1.767944
14.85484866016756	1.792108
14.99744031767937	1.816924
15.10992983663469	1.842144
15.16197581181692	1.867196
15.15965890860189	1.891768
15.10194433155797	1.91616
14.9442174204145	1.94138
14.65251302875628	1.96578
14.1867745473907	1.990592
13.45775276003975	2.015404
12.32363495771685	2.040208
10.68447643170498	2.065672
8.602293418808742	2.089832
6.333683137538355	2.11464
4.227047790951904	2.139456
2.602949604742085	2.139456
1.722281360704414	2.139456
