v	t
0.09	50348
0.26	75552
0.52	99960
0.44	124776
0.52	149992
0.52	174396
0.52	199208
0.61	224012
0.52	249224
0.52	273632
0.70	298440
0.52	323256
0.44	348060
0.61	372876
0.70	397680
0.44	422892
0.61	447704
0.70	472108
0.44	496920
0.61	522132
0.70	546556
0.44	571356
0.61	596168
0.70	621380
0.52	645784
0.52	670996
0.61	695408
0.52	720212
0.61	745424
0.61	769836
0.44	794640
0.70	819452
0.70	844668
0.52	869072
0.52	893880
0.70	919100
0.52	943916
0.52	968312
0.70	993528
0.52	1017932
0.52	1043152
0.52	1067556
0.70	1092764
0.52	1117176
0.52	1141980
0.61	1167200
0.52	1191604
0.61	1216816
0.70	1241636
0.44	1266432
0.70	1290844
0.52	1316048
0.52	1340464
0.61	1365272
0.61	1390088
0.52	1415288
0.61	1439704
0.52	1464516
0.70	1489324
0.52	1514132
0.61	1538944
0.44	1563752
0.61	1588560
0.70	1613376
0.61	1638580
0.52	1662988
0.70	1688204
0.52	1712616
0.61	1737424
0.61	1762232
0.61	1787452
0.61	1811852
0.52	1837060
0.52	1861868
0.61	1886284
0.70	1911096
0.52	1936296
0.52	1960712
0.61	1985524
0.52	2010740
0.61	2035548
0.52	2060344
0.26	2084764
0.35	2109976
0.26	2134388
0.09	2159592
0.09	2184408
0.09	2209212
