v	t
0.09	55040
0.35	79452
0.61	104656
0.52	129472
0.70	154284
0.61	179088
0.61	203500
0.70	228712
0.70	253120
0.70	278324
0.70	302744
0.61	327548
0.78	352760
0.70	377168
0.70	402376
0.70	426792
0.70	451600
0.70	476416
0.70	501220
0.70	526028
0.70	551240
0.52	575652
0.70	600460
0.70	625268
0.70	650076
0.70	675292
0.70	699700
0.70	724516
0.70	749712
0.70	774132
0.70	798936
0.70	823752
0.70	848560
0.70	873376
0.70	898580
0.70	922984
0.70	948196
0.70	972612
0.61	997420
0.78	1022224
0.61	1047040
0.70	1072248
0.78	1096660
0.61	1121872
0.70	1146672
0.70	1171084
0.70	1195896
0.70	1220708
0.61	1245916
0.70	1270336
0.78	1295136
0.61	1319952
0.70	1344760
0.87	1369964
0.70	1394380
0.70	1419580
0.70	1444400
0.70	1468812
0.70	1493620
0.70	1518436
0.70	1543248
0.70	1568048
0.70	1593252
0.70	1618064
0.70	1642884
0.70	1667696
0.70	1692092
0.70	1716904
0.78	1741716
0.61	1766532
0.70	1791344
0.78	1816144
0.61	1840960
0.70	1866172
0.70	1890580
0.61	1915784
0.70	1940192
0.61	1965016
0.70	1990220
0.70	2014628
0.70	2039444
0.52	2064256
0.35	2089060
0.17	2113872
0.35	2138680
0.17	2163892
