v	t
0.09	62384
0.09	99956
0.09	124368
0.26	149176
0.17	173988
0.17	199196
0.26	223604
0.26	248416
0.17	273232
0.26	298040
0.17	322844
0.26	347656
0.26	372472
0.35	397280
0.17	422092
0.26	446896
0.26	472112
0.26	496512
0.35	521724
0.17	546540
0.26	571348
0.26	595752
0.17	620968
0.35	645376
0.26	670192
0.35	695404
0.17	719804
0.26	744620
0.26	769828
0.35	794236
0.26	819052
0.26	843852
0.26	868668
0.26	893884
0.26	918288
0.26	943100
0.35	968308
0.17	993116
0.26	1017524
0.26	1042740
0.26	1067548
0.26	1091964
0.26	1116764
0.26	1141588
0.35	1166788
0.17	1191600
0.26	1216420
0.26	1240816
0.35	1265620
0.26	1290432
0.26	1315652
0.26	1340468
0.26	1364864
0.35	1389672
0.17	1414888
0.35	1439704
0.17	1464520
0.35	1488924
0.26	1513720
0.26	1538532
0.35	1563344
0.17	1588160
0.26	1612972
0.26	1637772
0.35	1662584
0.26	1687396
0.26	1712608
0.17	1737420
0.35	1762236
0.35	1786636
0.26	1811444
0.26	1836252
0.17	1861064
0.26	1885880
0.35	1910684
0.35	1935496
0.26	1960308
0.17	1985120
0.35	2009928
0.17	2034732
0.17	2059548
0.17	2084356
