p	v	t
0.25	0.09	999980
0.30	0.17	999992
0.35	2.09	999992
0.40	8.88	999984
0.45	11.41	999976
0.50	13.85	999992
0.55	15.59	999980
0.60	18.46	999984
0.65	19.07	999984
0.70	21.33	999988
0.75	23.34	999996
0.80	24.73	999992
0.85	26.91	999984
0.90	29.78	1000084
0.95	31.70	999988
1.00	35.18	999984
