v	t
0.09	176296
0.09	213464
0.09	240320
0.09	265136
0.09	289548
0.17	314348
0.17	339168
0.09	368920
0.09	394128
0.17	418540
0.17	443748
0.17	468156
0.09	503252
0.09	527664
0.17	552480
0.17	577280
0.17	602092
0.17	627300
0.17	652112
0.09	676932
0.17	701736
0.09	726148
0.09	759596
0.26	784008
0.09	809232
0.09	833620
0.17	858828
0.17	883644
0.17	908460
0.17	932864
0.09	958080
0.09	982480
0.26	1007700
0.09	1032108
0.17	1056916
0.17	1081728
0.09	1113528
0.17	1138332
0.26	1162748
0.09	1187556
0.09	1212372
0.17	1237172
0.17	1261980
0.09	1287200
0.17	1311608
0.09	1336420
0.17	1361224
0.17	1386032
0.09	1410844
0.17	1435656
0.17	1460868
0.17	1485284
0.09	1510492
0.17	1534896
0.17	1560108
0.09	1584920
0.17	1609328
0.09	1634540
0.09	1659344
0.17	1683756
0.26	1708968
0.09	1733788
0.09	1758592
0.17	1782992
0.17	1808208
0.09	1833024
0.17	1857428
0.09	1882644
0.09	1907448
0.09	1931856
0.17	1957076
0.17	1981888
0.17	2006288
0.09	2031496
0.17	2055904
