v	t
1.797022409098805	0
2.794692581518389	0
4.707427840220332	0.048276
7.301177374479004	0.072688
10.19795223095762	0.097496
12.92346667249166	0.122308
15.13461433407002	0.147116
16.73223610184994	0.171932
17.78640159867502	0.196736
18.39516196027092	0.221944
18.67739977502812	0.246352
18.79471902288633	0.271168
18.86204452506958	0.29638
18.9301945316774	0.320788
18.96548904170684	0.345592
18.95750353663015	0.370408
18.91369497823928	0.395616
18.83240397935871	0.420028
18.77668911333693	0.444844
18.81055533903609	0.470044
18.96448963955223	0.494452
19.20594118306859	0.519268
19.45839542374514	0.544488
19.61119114144631	0.568892
19.59315214857662	0.593696
19.41705877433265	0.6185079999999999
19.19182683365119	0.643316
19.04605906888862	0.6681280000000001
19.02198458914618	0.692944
19.04975271395228	0.718148
19.05633258927518	0.742556
18.97037683635798	0.767768
18.79946026489126	0.79218
18.61393543587789	0.817384
18.49674645887618	0.8421959999999999
18.47788521595223	0.866604
18.51548987298584	0.891416
18.51739496319352	0.916224
18.4468059637962	0.941432
18.33239752427276	0.966252
18.29745360022578	0.990656
18.4627626809211	1.01586
18.80573788436356	1.040276
19.12376892448537	1.065488
19.25452705224825	1.089904
19.20156702435105	1.115104
19.08249097008877	1.139512
18.97476811644861	1.164328
18.89221198869274	1.189136
18.84727811273427	1.213948
18.85703973062483	1.238764
18.8753037125979	1.263564
18.84024808482233	1.288772
18.75875057011812	1.313188
18.65372112939187	1.3384
18.53917214091203	1.362816
18.44452519173387	1.387612
18.4212224525504	1.412836
18.511029910756	1.437232
18.67057494277972	1.462048
18.79592783500357	1.48686
18.82725778530083	1.511676
18.81130965996604	1.536476
18.83038037435658	1.561288
18.95190936852093	1.586492
19.18159493991362	1.610912
19.4049328683344	1.63572
19.46828382998085	1.660928
19.27812539707209	1.68574
18.9417428269639	1.710144
18.70577645051586	1.735364
18.70790652982698	1.760172
18.87028240256018	1.784576
19.0048822064612	1.809388
19.02969633023514	1.834592
19.01750896414088	1.859012
19.06525120739643	1.88422
19.16907757440813	1.909032
19.27176563793171	1.933436
19.28975863609032	1.958248
19.05378018840086	1.98306
18.35889737554177	2.007868
16.99819312972021	2.033084
14.92422448365521	2.057888
12.33100072811087	2.0823
9.551270464978105	2.107504
6.927869942232156	2.13192
4.690652937420758	2.156732
3.028421443688427	2.156732
2.120640671985079	2.156732
